english_command,korean_command,intent,target_type,attribute,spatial_relation,spatial_reference,position,jsonl,split
remove the 2nd yellow text below the payment,결제 아래에 2번째 노란색 텍스트 삭제,delete,text,yellow,below,payment,2nd,"{""text"": ""remove the 2nd yellow text below the payment"", ""labels"": {""intent"": ""delete"", ""target_type"": ""text"", ""attribute"": ""yellow"", ""spatial_relation"": ""below"", ""spatial_reference"": ""payment"", ""position"": ""2nd""}}",test
open tab above the help,도움말 위에 탭 열기,open,tab,NONE,above,help,NONE,"{""text"": ""open tab above the help"", ""labels"": {""intent"": ""open"", ""target_type"": ""tab"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""help"", ""position"": ""NONE""}}",test
tap on the 1st checkbox next to the last item,마지막 항목 옆에 1번째 체크박스 탭,tap,checkbox,NONE,next_to,last item,1st,"{""text"": ""tap on the 1st checkbox next to the last item"", ""labels"": {""intent"": ""tap"", ""target_type"": ""checkbox"", ""attribute"": ""NONE"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""last item"", ""position"": ""1st""}}",train
insert yellow label on top of the payment,결제 상단에 노란색 텍스트 붙여넣기,paste,text,yellow,above,payment,NONE,"{""text"": ""insert yellow label on top of the payment"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""yellow"", ""spatial_relation"": ""above"", ""spatial_reference"": ""payment"", ""position"": ""NONE""}}",test
tap on symbol left of the settings,설정 좌측에 아이콘 press,click,icon,NONE,left_of,settings,NONE,"{""text"": ""tap on symbol left of the settings"", ""labels"": {""intent"": ""click"", ""target_type"": ""icon"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""settings"", ""position"": ""NONE""}}",train
long-press image next to the first email,첫 번째 이메일 옆에 이미지 long-press,long-press,image,NONE,next_to,first email,NONE,"{""text"": ""long-press image next to the first email"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""image"", ""attribute"": ""NONE"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""first email"", ""position"": ""NONE""}}",val
press and hold image,이미지 길게 누르기,long-press,image,NONE,NONE,NONE,NONE,"{""text"": ""press and hold image"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""image"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
launch the last menu above the profile,프로필 위에 마지막 메뉴 실행,open,menu,NONE,above,profile,last,"{""text"": ""launch the last menu above the profile"", ""labels"": {""intent"": ""open"", ""target_type"": ""menu"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""profile"", ""position"": ""last""}}",test
scroll to text next to the search,검색 옆에 스크롤하여 텍스트 이동,scroll,text,NONE,next_to,search,NONE,"{""text"": ""scroll to text next to the search"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""search"", ""position"": ""NONE""}}",train
press and hold the 3rd yellow text,3번째 노란색 텍스트 길게 누르기,long-press,text,yellow,NONE,NONE,3rd,"{""text"": ""press and hold the 3rd yellow text"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""text"", ""attribute"": ""yellow"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""3rd""}}",train
long-press icon,아이콘 long-press,long-press,icon,NONE,NONE,NONE,NONE,"{""text"": ""long-press icon"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""icon"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
paste text,텍스트 붙여넣기,paste,text,NONE,NONE,NONE,NONE,"{""text"": ""paste text"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
select tab,탭 선택,click,tab,NONE,NONE,NONE,NONE,"{""text"": ""select tab"", ""labels"": {""intent"": ""click"", ""target_type"": ""tab"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
copy text to the left of the help,도움말 왼쪽에 텍스트 복사,copy,text,NONE,left_of,help,NONE,"{""text"": ""copy text to the left of the help"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""help"", ""position"": ""NONE""}}",train
paste gray text,회색 텍스트 붙여넣기,paste,text,gray,NONE,NONE,NONE,"{""text"": ""paste gray text"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""gray"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
press orange switch,주황색 스위치 press,click,switch,orange,NONE,NONE,NONE,"{""text"": ""press orange switch"", ""labels"": {""intent"": ""click"", ""target_type"": ""switch"", ""attribute"": ""orange"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",test
tap link,링크 탭,tap,link,NONE,NONE,NONE,NONE,"{""text"": ""tap link"", ""labels"": {""intent"": ""tap"", ""target_type"": ""link"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
tap link next to the payment,결제 옆에 링크 탭,tap,link,NONE,next_to,payment,NONE,"{""text"": ""tap link next to the payment"", ""labels"": {""intent"": ""tap"", ""target_type"": ""link"", ""attribute"": ""NONE"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""payment"", ""position"": ""NONE""}}",train
copy text above the cart,장바구니 위에 텍스트 복사,copy,text,NONE,above,cart,NONE,"{""text"": ""copy text above the cart"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""cart"", ""position"": ""NONE""}}",val
launch blue tab,파란색 탭 실행,open,tab,blue,NONE,NONE,NONE,"{""text"": ""launch blue tab"", ""labels"": {""intent"": ""open"", ""target_type"": ""tab"", ""attribute"": ""blue"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
launch second red menu below the first email,first email 하단에 red menu,open,menu,red,below,first email,2nd,"{""text"": ""launch second red menu below the first email"", ""labels"": {""intent"": ""open"", ""target_type"": ""menu"", ""attribute"": ""red"", ""spatial_relation"": ""below"", ""spatial_reference"": ""first email"", ""position"": ""2nd""}}",train
press the last link below the home,홈 아래에 마지막 링크 press,click,link,NONE,below,home,last,"{""text"": ""press the last link below the home"", ""labels"": {""intent"": ""click"", ""target_type"": ""link"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""home"", ""position"": ""last""}}",train
hit second checkbox on the left side of the profile,profile 좌측에  checkbox,tap,checkbox,NONE,left_of,profile,2nd,"{""text"": ""hit second checkbox on the left side of the profile"", ""labels"": {""intent"": ""tap"", ""target_type"": ""checkbox"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""profile"", ""position"": ""2nd""}}",train
long-press pink photo left of the payment,결제 좌측에 분홍색 이미지 long-press,long-press,image,pink,left_of,payment,NONE,"{""text"": ""long-press pink photo left of the payment"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""image"", ""attribute"": ""pink"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""payment"", ""position"": ""NONE""}}",train
scroll down to blue tab,아래로 스크롤하여 파란색 탭 이동,scroll,tab,blue,NONE,NONE,NONE,"{""text"": ""scroll down to blue tab"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""tab"", ""attribute"": ""blue"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",val
click link,링크 클릭,click,link,NONE,NONE,NONE,NONE,"{""text"": ""click link"", ""labels"": {""intent"": ""click"", ""target_type"": ""link"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",test
trash pink text above the payment,결제 위에 분홍색 텍스트 삭제,delete,text,pink,above,payment,NONE,"{""text"": ""trash pink text above the payment"", ""labels"": {""intent"": ""delete"", ""target_type"": ""text"", ""attribute"": ""pink"", ""spatial_relation"": ""above"", ""spatial_reference"": ""payment"", ""position"": ""NONE""}}",train
paste text,텍스트 붙여넣기,paste,text,NONE,NONE,NONE,NONE,"{""text"": ""paste text"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
delete yellow image next to the login,로그인 옆에 노란색 이미지 삭제,delete,image,yellow,next_to,login,NONE,"{""text"": ""delete yellow image next to the login"", ""labels"": {""intent"": ""delete"", ""target_type"": ""image"", ""attribute"": ""yellow"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""login"", ""position"": ""NONE""}}",train
launch link to the right of the address,주소 오른쪽에 링크 실행,open,link,NONE,right_of,address,NONE,"{""text"": ""launch link to the right of the address"", ""labels"": {""intent"": ""open"", ""target_type"": ""link"", ""attribute"": ""NONE"", ""spatial_relation"": ""right_of"", ""spatial_reference"": ""address"", ""position"": ""NONE""}}",train
trash button below the login,로그인 아래에 버튼 삭제,delete,button,NONE,below,login,NONE,"{""text"": ""trash button below the login"", ""labels"": {""intent"": ""delete"", ""target_type"": ""button"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""login"", ""position"": ""NONE""}}",train
insert 3rd label on top of the wi-fi,Wi-Fi 상단에 3번째 텍스트 붙여넣기,paste,text,NONE,above,wi-fi,3rd,"{""text"": ""insert 3rd label on top of the wi-fi"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""wi-fi"", ""position"": ""3rd""}}",train
scroll to tab above the cart,장바구니 위에 스크롤하여 탭 이동,scroll,tab,NONE,above,cart,NONE,"{""text"": ""scroll to tab above the cart"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""tab"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""cart"", ""position"": ""NONE""}}",train
scroll down to tab above the home,홈 위에 아래로 스크롤하여 탭 이동,scroll,tab,NONE,above,home,NONE,"{""text"": ""scroll down to tab above the home"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""tab"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""home"", ""position"": ""NONE""}}",train
press image,이미지 press,click,image,NONE,NONE,NONE,NONE,"{""text"": ""press image"", ""labels"": {""intent"": ""click"", ""target_type"": ""image"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",test
select black text,검정색 텍스트 선택,click,text,black,NONE,NONE,NONE,"{""text"": ""select black text"", ""labels"": {""intent"": ""click"", ""target_type"": ""text"", ""attribute"": ""black"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
tap red icon,빨간색 아이콘 탭,tap,icon,red,NONE,NONE,NONE,"{""text"": ""tap red icon"", ""labels"": {""intent"": ""tap"", ""target_type"": ""icon"", ""attribute"": ""red"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",test
select orange switch below the login,로그인 아래에 주황색 스위치 선택,click,switch,orange,below,login,NONE,"{""text"": ""select orange switch below the login"", ""labels"": {""intent"": ""click"", ""target_type"": ""switch"", ""attribute"": ""orange"", ""spatial_relation"": ""below"", ""spatial_reference"": ""login"", ""position"": ""NONE""}}",val
trash yellow text to the left of the wi-fi,Wi-Fi 왼쪽에 노란색 텍스트 삭제,delete,text,yellow,left_of,wi-fi,NONE,"{""text"": ""trash yellow text to the left of the wi-fi"", ""labels"": {""intent"": ""delete"", ""target_type"": ""text"", ""attribute"": ""yellow"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""wi-fi"", ""position"": ""NONE""}}",train
hit action button underneath the search,search 아래쪽에  button,tap,button,NONE,below,search,NONE,"{""text"": ""hit action button underneath the search"", ""labels"": {""intent"": ""tap"", ""target_type"": ""button"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""search"", ""position"": ""NONE""}}",train
long-press text,텍스트 long-press,long-press,text,NONE,NONE,NONE,NONE,"{""text"": ""long-press text"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",val
scroll down to menu below the help,도움말 아래에 아래로 스크롤하여 메뉴 이동,scroll,menu,NONE,below,help,NONE,"{""text"": ""scroll down to menu below the help"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""menu"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""help"", ""position"": ""NONE""}}",test
open the last green tab below the wi-fi,Wi-Fi 아래에 마지막 녹색 탭 열기,open,tab,green,below,wi-fi,last,"{""text"": ""open the last green tab below the wi-fi"", ""labels"": {""intent"": ""open"", ""target_type"": ""tab"", ""attribute"": ""green"", ""spatial_relation"": ""below"", ""spatial_reference"": ""wi-fi"", ""position"": ""last""}}",train
