command,intent,target,attribute,label,index,relation,reference
can you login chart,login,chart,,,62,right_edge,
please check gallery,check,gallery,,,68,third,
long_press link,long_press,link,expanded,back,,under,profile icon
actually please login image,login,image,,,1,first_row,sort button
you know long_press gallery,long_press,gallery,focused,,54,first_row,remove button
unpin graph,unpin,graph,,,5,between,
accept input,accept,input,bold,,38,lower_center,
accept popup,accept,popup,small,email,14,center_right,
login image,login,image,,notification,,last_column,
launch phone_number,launch,phone_number,small,refresh,26,inside,
please login slider,login,slider,,warning,,in_front_of,edit button
unpin slider,unpin,slider,,,0,bottom_right,submit button
like delete tab,delete,tab,,search,39,in_front_of,
please drag slider,drag,slider,highlighted,ok,87,next_to,calendar view
please unpin message,unpin,message,large,,,farthest,table view
close document,close,document,focused,address,51,next_to,email field
login phone_number,login,phone_number,focused,empty,42,lower_center,
login chart,login,chart,underlined,,22,below,sort button
전송 search_box,submit,search_box,blue,,,top_right,
삭제해 image,delete,image,,profile,75,second_row,
launch text,launch,text,collapsed,home,54,below,
check text,check,text,underlined,,11,before,export button
please login chart,login,chart,,,16,next_to,
drag calendar,drag,calendar,,search,23,nearest,
unpin 체크박스,unpin,checkbox,,warning,36,center,
please check progress_bar,check,progress_bar,italic,,65,second_row,address field
drag phone_number,drag,phone_number,,,,above,submit button
unpin switch,unpin,switch,light,,82,in_front_of,
de1ete thi file,delete,file,danger,home,28,above,
unpin image,unpin,image,info,,52,outside,
unpin progress_bar,unpin,progress_bar,bold,phone,79,last_column,notification panel
please login text,login,text,,,31,inside,
launch calendar,launch,calendar,,,52,in_front_of,
close file,close,file,focused,edit,93,second,phone field
long_press slider,long_press,slider,,,37,left,
전송 dropdown,submit,dropdown,collapsed,sort,14,after,
login camera,login,camera,secondary,home,62,second_row,message field
can you accept graph,accept,graph,bold,,73,left,
can you close slider,close,slider,,,,lower_center,
long_press the tab,long_press,tab,,warning,63,first_column,
close checkbox,close,checkbox,collapsed,cancel,39,before,
delete slider,delete,slider,primary,,90,center,
login graph,login,graph,secondary,,13,above,
summit camera,submit,camera,highlighted,register,15,last_column,
long_press the file,long_press,file,small,notification,,outside,
c|ose the switch,close,switch,highlighted,,0,first_row,
long_press progress_bar,long_press,progress_bar,,,,below,
please drag message,drag,message,,download,32,before,
ch3ck phone_number,check,phone_number,dark,submit,77,second,
unpin message,unpin,message,,,51,center_right,
launch link,launch,link,highlighted,next,64,bottom_right,card list
삭제 notification,delete,notification,green,,12,inside,cart icon
can you delete tab,delete,tab,green,import,40,before,
login search_box,login,search_box,success,address,93,behind,
i think please accept document,accept,document,underlined,,70,after,audio player
please close table,close,table,,next,64,between,submit button
please delete icon,delete,icon,,edit,20,below,
please accept sli2er,accept,slider,,download,,first_row,
check phone_number,check,phone_number,underlined,cancel,87,nearest,
delete on s1ider,delete,slider,,,3,outside,
c7n you check card,check,card,highlighted,import,58,center_right,
please long_press file,long_press,file,,filter,,inside,settings button
long_press document,long_press,document,dark,,31,center_right,delete button
drag on document,drag,document,,,81,outside,
pleas2 chezk inpu7,check,input,highlighted,info,60,bottom_left,
lccept on calendar,accept,calendar,,previous,,inside,search bar
check message,check,message,dark,,,first_row,
can you login slider,login,slider,small,retry,15,before,
submit search_box,submit,search_box,secondary,sort,77,last,
accept audio,accept,audio,,,15,above,
accept document,accept,document,bold,,,bottom_right,edit button
unpin audio,unpin,audio,disabled,warning,,last_column,
삭제 graph,delete,graph,,,,below,
close camera,close,camera,,cancel,58,center,
please check document,check,document,large,,,second_last,email field
please close progress_bar,close,progress_bar,dark,,36,before,
삭제해 dropdown,delete,dropdown,,confirm,78,farthest,
can you launch camera,launch,camera,,,15,under,
unpin the tab,unpin,tab,,,63,last,sidebar menu
accept the message,accept,message,collapsed,upload,60,below,submit button
accept the radio_button,accept,radio_button,,refresh,46,right_edge,
long_press link,long_press,link,,notification,,inside,
summit the dropdowu,submit,dropdown,primary,,,first_column,delete button
summit the notificati1n,submit,notification,italic,,79,top_right,
unpin the phone_number,unpin,phone_number,small,email,,second_last,upload button
check the message,check,message,green,home,,left,
check the camera,check,camera,,,,next_to,menu button
launch the pgpup,launch,popup,primary,,,right_edge,calendar view
login menu,login,menu,,,69,bottom_left,sidebar menu
please close checkbox,close,checkbox,,,,above,submit button
login calendar,login,calendar,,download,3,in_front_of,submit button
지우세요 tab,delete,tab,,,9,first_row,
unpin gallery,unpin,gallery,collapsed,,34,bottom_right,back button
uh leaf the slider,delete,slider,primary,sort,74,bottom_right,
can you close audio,close,audio,disabled,empty,77,first_row,cancel button
close gallery,close,gallery,,,,first_column,sort button
long_press message,long_press,message,expanded,,37,above,
close text,close,text,,edit,,under,dialog box
please delete camera,delete,camera,,,61,bottom_left,
can you long_press dialog,long_press,dialog,red,empty,77,third,
accept menu,accept,menu,,,98,after,
accept link,accept,link,large,,,next_to,upload button
launch the checkbox,launch,checkbox,,refresh,,last,back button
accept tab,accept,tab,bold,retry,52,farthest,audio player
삭제해 dropdown,delete,dropdown,warning,delete,3,second,main content
unpin calendar,unpin,calendar,,back,,between,
long_press menu,long_press,menu,italic,edit,48,center,settings button
close document,close,document,,,49,top_right,chart view
삭제 table,delete,table,,ok,94,farthest,
just can you long_press switch,long_press,switch,collapsed,,27,last,table view
long_press document,long_press,document,success,notification,91,second_last,image gallery
login dialog,login,dialog,,,88,below,
long_press slider,long_press,slider,,password,57,second_last,
delet progress_bar,delete,progress_bar,focused,empty,42,under,
accept popup,accept,popup,yellow,,74,left,
accept tab,accept,tab,small,retry,85,top_right,
check the link,check,link,large,,54,left_edge,
accept 입력,accept,input,italic,warning,15,inside,main content
long_press notification,long_press,notification,highlighted,,,second_last,home button
long_press 입력,long_press,input,,alert,49,center_right,
long_press popup,long_press,popup,,,,second_last,message field
login card,login,card,info,download,46,nearest,
please submit search_box,submit,search_box,,home,47,right_edge,
login file,login,file,active,,40,above,
accept the xable,accept,table,large,ok,75,lower_center,
삭제해 chart,delete,chart,collapsed,register,38,in_front_of,
launch phone_number,launch,phone_number,,export,65,second,
please unpin image,unpin,image,,,93,lower_center,
accept dropdown,accept,dropdown,active,,,inside,profile icon
login progress_bar,login,progress_bar,,,,in_front_of,video player
please ac5ept noaification,accept,notification,secondary,submit,,first_row,
drag audio,drag,audio,expanded,password,80,above,
close table,close,table,,error,,bottom_right,
submit search_box,submit,search_box,bold,,,right_edge,
login the slider,login,slider,italic,upload,12,behind,
can you long_press popup,long_press,popup,,,,behind,
please close slider,close,slider,danger,remove,33,above,
please long_press phone_number,long_press,phone_number,underlined,,21,bottom_right,
unpin card,unpin,card,,,,lower_center,
unpin 입력,unpin,input,strikethrough,,,outside,
login text,login,text,,previous,14,left,
check file,check,file,expanded,,58,center_right,upload button
please close image,close,image,,,,right_edge,address field
accept the camera,accept,camera,bold,warning,,lower_center,password field
can you accept message,accept,message,yellow,previous,58,last_column,
accept 입력,accept,input,expanded,warning,66,left,cart icon
삭제 image,delete,image,red,previous,11,after,
check camera,check,camera,,export,53,in_front_of,message field
long_press chart,long_press,chart,blue,confirm,38,above,
accept the graph,accept,graph,,,,nearest,calendar view
close phone_number,close,phone_number,light,,,bottom_left,sidebar menu
삭제 audio,delete,audio,dark,home,65,under,
login card,login,card,,,,under,
accept the password,accept,password,large,,,last_column,
drag document,drag,document,large,add,16,next_to,
you know please check document,check,document,,,41,center_right,
like please close menu,close,menu,dark,error,,above,edit button
accept file,accept,file,large,register,,left_edge,modal
login text,login,text,,message,6,below,sidebar menu
unpin message,unpin,message,info,add,19,above,add button
check 아이콘,check,icon,large,,,farthest,main content
can you unpin icon,unpin,icon,yellow,edit,95,bottom_right,
can you launch tab,launch,tab,,settings,34,above,
delet phnne_number,delete,phone_number,expanded,email,60,nearest,
login camera,login,camera,,,95,left_edge,table view
c|ose the gallery,close,gallery,,submit,62,after,
accept camera,accept,camera,disabled,,99,outside,
long_press image,long_press,image,yellow,,46,second_last,submit button
login 체크박스,login,checkbox,info,success,64,before,
like please close checkbox,close,checkbox,,,,third,
delte progress_bar,delete,progress_bar,italic,upload,47,farthest,
drag the checkbox,drag,checkbox,light,,,third,
please unpin document,unpin,document,bold,cancel,,first_column,audio player
launch the imag3,launch,image,,info,80,outside,
long_press the phone_number,long_press,phone_number,,phone,,second_last,
check the card,check,card,collapsed,alert,12,bottom_left,
long_press image,long_press,image,light,profile,,before,
check document,check,document,,next,,third,
delete audio,delete,audio,success,ok,,below,
long_press the card,long_press,card,dark,,94,below,
please login text,login,text,light,,14,first_row,
login the calendar,login,calendar,,,,last,save button
please drag audio,drag,audio,large,download,43,right_edge,
long_press the search_box,long_press,search_box,,,91,third,settings button
unpin the card,unpin,card,primary,,,bottom_right,
check radio_button,check,radio_button,,phone,,center_right,sort button
check on phone_number,check,phone_number,highlighted,register,,center_right,
check dropdown,check,dropdown,collapsed,,,above,footer
you know check radio_button,check,radio_button,light,export,3,under,
drag dropdown,drag,dropdown,danger,,,nearest,
drag radio_button,drag,radio_button,large,,56,lower_center,audio player
